id,o_S1,o_S2,o_S3,o_S4,o_S5,a_S1,a_S2,a_S3,a_S4,a_S5
MzA4NjQ5NjAzOA==,0,0,7,10,15,0.0,0.0,0.318181818182,0.25641025641,0.375
MzA4NjYwODU3NQ==,27,30,53,48,70,0.36,0.333333333333,0.616279069767,0.539325842697,0.679611650485
MzA4NjgwMzM4NA==,54,93,83,91,84,0.6,0.744,0.855670103093,0.476439790576,0.413793103448
MzA4Njk5MDEzNw==,6,10,27,56,7,0.0326086956522,0.0529100529101,0.129186602871,0.224899598394,0.0388888888889
MzA4NzA0NDIzMQ==,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0824742268041
MzA4NzAwODUxNA==,15,41,39,36,55,0.0724637681159,0.221621621622,0.25,0.2,0.240174672489
MzA4ODYxMjk2NA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA4ODg1ODQxMQ==,0,0,1,0,2,0.0,0.0,0.111111111111,0.0,0.333333333333
MzA4OTI5NDg4Mg==,0,3,0,0,0,0.0,0.00980392156863,0.0,0.0,0.0
MzA4OTM0MDk1Nw==,6,24,44,56,46,0.4,0.827586206897,0.897959183673,0.7,0.455445544554
MzA4OTQ5MTA5Mg==,0,0,0,0,4,0.0,0.0,0.0,0.0,0.333333333333
MzA4OTQyODYyMQ==,4,7,13,9,6,0.25,0.304347826087,0.433333333333,0.28125,0.375
MzA4OTUxNDcwMA==,29,21,21,11,5,0.935483870968,0.954545454545,0.913043478261,0.846153846154,0.625
MzA4OTc4MTEwNw==,5,19,10,14,16,0.625,0.76,0.909090909091,0.608695652174,0.533333333333
MzA5MDA1MzkyMw==,45,75,66,63,90,0.316901408451,0.409836065574,0.5,0.409090909091,0.55900621118
MzA5MDE3ODEyNg==,15,5,3,3,1,1.0,0.833333333333,1.0,0.75,0.5
MzA5MDQ4Mjc0Mw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA5MTQ0NDIzMQ==,4,10,48,41,36,0.0444444444444,0.0757575757576,0.201680672269,0.182222222222,0.107142857143
MzA5MjAzNzgyNA==,0,56,67,90,161,0.0,0.112903225806,0.101823708207,0.136157337368,0.215528781794
MzA5MjEwODUzNw==,249,238,228,270,264,0.555803571429,0.540909090909,0.507795100223,0.574468085106,0.535496957404
MzA5MjQxMDkzMA==,0,0,0,0,6,0.0,0.0,0.0,0.0,0.857142857143
MzA5MjY1MjQxOA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA5Mjc4NzQ4NQ==,46,51,53,47,56,0.676470588235,0.689189189189,0.688311688312,0.839285714286,0.888888888889
MzA5MzA5MzQzNA==,5,23,39,52,52,0.384615384615,0.958333333333,0.886363636364,0.764705882353,0.866666666667
MzA5MzExNzc1Mw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA5MzMxMDgzNg==,0,0,0,0,4,0.0,0.0,0.0,0.0,0.210526315789
MzA5MzMyODM0OQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA5MzU2OTU1Mg==,0,3,0,0,2,0.0,0.0322580645161,0.0,0.0,0.0289855072464
MzA5MzYzMDQzMA==,0,0,0,20,62,0.0,0.0,0.0,0.0574712643678,0.122772277228
MzA5Mzc3NTUwNw==,0,0,4,8,43,0.0,0.0,0.0144927536232,0.0340425531915,0.191111111111
MzA5MzkyNjUyMA==,0,2,0,0,4,0.0,0.00727272727273,0.0,0.0,0.0191387559809
MzA5NDM2ODEwMg==,0,1,8,1,5,0.0,0.0833333333333,0.727272727273,0.166666666667,0.714285714286
MzA5NDkwMzYxMg==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA5NTE2MDE1Mw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA5NTE3NzEwMw==,14,4,1,5,11,0.0316742081448,0.00875273522976,0.0025974025974,0.0134408602151,0.0298913043478
MzA5NTIwMjM5MQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA5NTU5NTMwMg==,0,0,2,8,14,0.0,0.0,0.25,0.8,0.736842105263
MzA5NjI0NjE4Ng==,0,0,0,1,3,0.0,0.0,0.0,0.2,0.6
MzA5NjMxNjMxNw==,30,52,48,51,52,0.731707317073,0.456140350877,0.494845360825,0.56043956044,0.577777777778
